_CustomObjectKey,automationinstancestatus
2,Error
3,Error
4,Error
5,Error
6,Stopped
7,Stopped
8,Stopped
9,Stopped
10,Stopped
11,Stopped
12,Stopped
13,Stopped
14,Stopped
15,Stopped
16,Stopped
17,Stopped
18,Stopped
19,Stopped
20,Stopped
21,Stopped
22,Stopped
23,Stopped
24,Stopped
25,Stopped
26,Stopped
27,Stopped
28,Stopped
29,Stopped
30,Stopped
31,Stopped
32,Stopped
33,Stopped
34,Stopped
35,Stopped
36,Stopped
37,Stopped
38,Stopped
39,Stopped
40,Stopped
41,Stopped
42,Stopped
43,Stopped
44,Stopped
45,Stopped
46,Stopped
47,Stopped
48,Stopped
49,Stopped
50,Stopped
51,Stopped
52,Stopped
53,Stopped
54,Stopped
55,Stopped
56,Stopped
57,Stopped
58,Stopped
59,Stopped
60,Stopped
61,Stopped
62,Stopped
63,Stopped
64,Stopped
65,Stopped
66,Stopped
67,Stopped
68,Stopped
69,Stopped
70,Stopped
71,Stopped
72,Stopped
73,Stopped
74,Stopped
75,Stopped
76,Stopped
77,Stopped
78,Stopped
79,Stopped
80,Stopped
81,Stopped
82,Stopped
83,Stopped
84,Stopped
85,Stopped
86,Stopped
87,Stopped
88,Stopped
89,Stopped
90,Stopped
91,Stopped
92,Stopped
93,Stopped
94,Stopped
95,Stopped
96,Stopped
97,Stopped
98,Stopped
99,Stopped
100,Stopped
101,Stopped
102,Stopped
103,Stopped
104,Stopped
105,Stopped
106,Stopped
107,Stopped
108,Stopped
109,Stopped
110,Stopped
111,Stopped
112,Stopped
113,Stopped
114,Stopped
115,Stopped
116,Stopped
117,Stopped
118,Stopped
119,Stopped
120,Stopped
121,Stopped
122,Stopped
123,Stopped
124,Stopped
125,Stopped
126,Stopped
127,Stopped
128,Stopped
129,Stopped
130,Stopped
131,Stopped
132,Stopped
133,Stopped
134,Stopped
135,Stopped
136,Stopped
137,Stopped
138,Stopped
139,Stopped
140,Stopped
141,Stopped
142,Stopped
143,Stopped
144,Stopped
145,Stopped
146,Stopped
147,Stopped
148,Stopped
149,Stopped
150,Stopped
151,Stopped
152,Stopped
153,Stopped
154,Stopped
155,Stopped
156,Stopped
157,Stopped
158,Stopped
159,Stopped
160,Stopped
161,Stopped
162,Stopped
163,Stopped
164,Stopped
165,Stopped
166,Stopped
167,Stopped
168,Stopped
169,Stopped
170,Stopped
171,Stopped
172,Stopped
173,Stopped
174,Stopped
175,Stopped
176,Stopped
177,Stopped
178,Stopped
179,Stopped
180,Stopped
181,Stopped
182,Stopped
183,Stopped
184,Stopped
185,Stopped
186,Stopped
187,Stopped
188,Stopped
189,Stopped
190,Stopped
191,Stopped
192,Stopped
193,Complete
194,Complete
195,Complete
196,Complete
197,Stopped
198,Stopped
199,Stopped
200,Stopped
201,Stopped
202,Stopped
203,Complete
204,Complete
205,Stopped
206,Stopped
207,Stopped
208,Stopped
209,Stopped
210,Stopped
211,Stopped
212,Stopped
213,Skipped
214,Skipped
215,Stopped
216,Stopped
217,Stopped
218,Stopped
219,Stopped
220,Stopped
221,Stopped
222,Stopped
223,Stopped
224,Stopped
225,Stopped
226,Stopped
227,Stopped
228,Stopped
229,Stopped
230,Stopped
231,Stopped
232,Stopped
233,Stopped
234,Stopped
235,Stopped
236,Stopped
237,Stopped
238,Stopped
239,Stopped
240,Stopped
241,Stopped
242,Stopped
243,Stopped
244,Stopped
245,Stopped
246,Stopped
247,Stopped
248,Stopped
249,Stopped
250,Stopped
251,Stopped
252,Stopped
253,Stopped
254,Stopped
255,Stopped
256,Stopped
257,Stopped
258,Stopped
259,Stopped
260,Stopped
261,Stopped
262,Stopped
263,Stopped
264,Stopped
265,Skipped
266,Stopped
267,Stopped
268,Stopped
269,Stopped
270,Stopped
271,Stopped
272,Stopped
273,Stopped
274,Stopped
275,Stopped
276,Skipped
277,Stopped
278,Stopped
279,Stopped
280,Stopped
281,Stopped
282,Stopped
283,Stopped
284,Stopped
285,Stopped
286,Stopped
287,Stopped
288,Stopped
289,Stopped
290,Stopped
291,Stopped
292,Stopped
293,Stopped
294,Stopped
295,Stopped
296,Stopped
297,Stopped
298,Stopped
299,Stopped
300,Stopped
301,Stopped
302,Stopped
303,Stopped
304,Stopped
305,Stopped
306,Stopped
307,Stopped
308,Stopped
309,Stopped
310,Stopped
311,Stopped
312,Stopped
313,Stopped
314,Stopped
315,Stopped
316,Stopped
317,Stopped
318,Stopped
319,Stopped
320,Stopped
321,Stopped
322,Stopped
323,Stopped
324,Stopped
325,Stopped
326,Stopped
327,Stopped
328,Stopped
329,Stopped
330,Stopped
331,Stopped
332,Stopped
333,Stopped
334,Stopped
335,Stopped
336,Stopped
337,Stopped
338,Stopped
339,Stopped
340,Stopped
341,Stopped
342,Stopped
343,Stopped
344,Stopped
345,Stopped
346,Stopped
347,Stopped
348,Stopped
349,Stopped
350,Stopped
351,Stopped
352,Stopped
353,Stopped
354,Stopped
355,Stopped
356,Stopped
357,Stopped
358,Stopped
359,Stopped
360,Stopped
361,Stopped
362,Stopped
363,Stopped
364,Stopped
365,Stopped
366,Stopped
367,Stopped
368,Stopped
369,Stopped
370,Stopped
371,Stopped
372,Stopped
373,Stopped
374,Stopped
375,Stopped
376,Stopped
377,Stopped
378,Stopped
379,Stopped
380,Stopped
381,Stopped
382,Stopped
383,Stopped
384,Stopped
385,Stopped
386,Stopped
387,Stopped
388,Stopped
389,Stopped
390,Stopped
391,Stopped
392,Stopped
393,Stopped
394,Stopped
395,Stopped
396,Stopped
397,Stopped
398,Stopped
399,Stopped
400,Stopped
401,Stopped
402,Stopped
403,Stopped
404,Stopped
405,Stopped
406,Stopped
407,Stopped
408,Stopped
409,Stopped
410,Stopped
411,Stopped
412,Stopped
413,Stopped
414,Stopped
415,Stopped
416,Stopped
417,Stopped
418,Stopped
419,Stopped
420,Stopped
421,Stopped
422,Stopped
423,Stopped
424,Stopped
425,Stopped
426,Stopped
427,Stopped
428,Stopped
429,Stopped
430,Stopped
431,Stopped
432,Stopped
433,Stopped
434,Stopped
435,Stopped
436,Stopped
437,Stopped
438,Stopped
439,Stopped
440,Stopped
441,Stopped
442,Stopped
443,Stopped
444,Stopped
445,Stopped
446,Stopped
447,Stopped
448,Stopped
449,Stopped
450,Stopped
451,Stopped
452,Stopped
453,Stopped
454,Stopped
455,Stopped
456,Stopped
457,Stopped
458,Stopped
459,Stopped
460,Stopped
461,Stopped
462,Stopped
463,Stopped
464,Stopped
465,Stopped
466,Stopped
467,Stopped
468,Stopped
469,Stopped
470,Stopped
471,Stopped
472,Stopped
473,Stopped
474,Stopped
