_CustomObjectKey,ID,HC_Classificacao__c
1302126,a0i6g000006E7pGAAS,Ex-cliente
1302127,a0i6g000006EC9kAAG,Ex-cliente
1302128,a0i6g000006EK9OAAW,Ex-cliente
1302129,a0i6g000006EZnHAAW,Ex-cliente
1302130,a0i6g000006FAA5AAO,Ex-cliente
1302131,a0i6g000006FwmnAAC,Ex-cliente
1302132,a0i6g000006HKhbAAG,Ex-cliente
1302133,a0i6g000006I2M8AAK,Ex-cliente
1302134,a0i6g000006INYiAAO,Ex-cliente
1302135,a0i6g000006It5oAAC,Ex-cliente
1302136,a0i6g000006ItJZAA0,Ex-cliente
1302137,a0i6g000006K4eTAAS,Ex-cliente
1302138,a0i6g000006LBJcAAO,Ex-cliente
1302139,a0i6g000006LIukAAG,Ex-cliente
1302140,a0i6g000006LtrpAAC,Ex-cliente
1302141,a0i6g000006M5yLAAS,Ex-cliente
1302142,a0i6g000006MSHZAA4,Ex-cliente
1302143,a0i6g000006MwffAAC,Ex-cliente
1302144,a0i6g000006Mz25AAC,Ex-cliente
1302145,a0i6g000006NWP6AAO,Ex-cliente
1302146,a0i6g000006NWheAAG,Ex-cliente
1302147,a0i6g000006NWiMAAW,Ex-cliente
1302148,a0i6g000006NWiUAAW,Ex-cliente
1302149,a0i6g000006NZXWAA4,Ex-cliente
1302150,a0i6g000006NeGGAA0,Ex-cliente
1302151,a0i6g000006NgwkAAC,Ex-cliente
1302152,a0i6g000006NgwqAAC,Ex-cliente
1302153,a0i6g000006NhI5AAK,Ex-cliente
1302154,a0i6g000006NhJAAA0,Ex-cliente
1302155,a0i6g000006NhWBAA0,Ex-cliente
1302156,a0i6g000006NhWzAAK,Ex-cliente
1302157,a0i6g000006NhX6AAK,Ex-cliente
1302158,a0i6g000006NhXUAA0,Ex-cliente
1302159,a0i6g000006NhXaAAK,Ex-cliente
1302160,a0i6g000006NhjtAAC,Ex-cliente
1302161,a0i6g000006NhyWAAS,Ex-cliente
1302162,a0i6g000006NhzCAAS,Ex-cliente
1302163,a0i6g000006NhzDAAS,Ex-cliente
1302164,a0i6g000006NiavAAC,Ex-cliente
1302165,a0i6g000006Nib1AAC,Ex-cliente
1302166,a0i6g000006Nir9AAC,Ex-cliente
1302167,a0i6g000006NirIAAS,Ex-cliente
1302168,a0i6g000006NirvAAC,Ex-cliente
1302169,a0i6g000006Nj7GAAS,Ex-cliente
1302170,a0i6g000006NjNaAAK,Ex-cliente
1302171,a0i6g000006NjNdAAK,Ex-cliente
1302172,a0i6g000006NjNuAAK,Ex-cliente
1302173,a0i6g000006NjPCAA0,Ex-cliente
1302174,a0i6g000006NjPiAAK,Ex-cliente
1302175,a0i6g000006NjPuAAK,Ex-cliente
1302176,a0i6g000006NmtdAAC,Ex-cliente
1302177,a0i6g000006NmuyAAC,Ex-cliente
1302178,a0i6g000006NqHOAA0,Ex-cliente
1302179,a0i6g000006NqWEAA0,Ex-cliente
1302180,a0i6g000006DcAXAA0,Ex-cliente
1302181,a0i6g000006E7sKAAS,Ex-cliente
1302182,a0i6g000006Ewd2AAC,Ex-cliente
1302183,a0i6g000006F9Z1AAK,Ex-cliente
1302184,a0i6g000006FAAaAAO,Ex-cliente
1302185,a0i6g000006FZGCAA4,Ex-cliente
1302186,a0i6g000006FmslAAC,Ex-cliente
1302187,a0i6g000006FtjaAAC,Ex-cliente
1302188,a0i6g000006G0BdAAK,Ex-cliente
1302189,a0i6g000006G8bRAAS,Ex-cliente
1302190,a0i6g000006GRABAA4,Ex-cliente
1302191,a0i6g000006GUJ5AAO,Ex-cliente
1302192,a0i6g000006IXn5AAG,Ex-cliente
1302193,a0i6g000006IrbgAAC,Ex-cliente
1302194,a0i6g000006IsL2AAK,Ex-cliente
1302195,a0i6g000006JF7VAAW,Ex-cliente
1302196,a0i6g000006JxKfAAK,Ex-cliente
1302197,a0i6g000006KCQ0AAO,Ex-cliente
1302198,a0i6g000006KcgQAAS,Ex-cliente
1302199,a0i6g000006MTvQAAW,Ex-cliente
1302200,a0i6g000006MY43AAG,Ex-cliente
1302201,a0i6g000006MmJkAAK,Ex-cliente
1302202,a0i6g000006MpY9AAK,Ex-cliente
1302203,a0i6g000006NWNNAA4,Ex-cliente
1302204,a0i6g000006NWOAAA4,Ex-cliente
1302205,a0i6g000006NguEAAS,Ex-cliente
1302206,a0i6g000006NgwGAAS,Ex-cliente
1302207,a0i6g000006NhJKAA0,Ex-cliente
