_CustomObjectKey,AccountID,OYBAccountID,JobID,ListID,BatchID,SubscriberID,SubscriberKey,EventDate,IsUnique,Domain,BounceCategoryID,BounceCategory,BounceSubcategoryID,BounceSubcategory,BounceTypeID,BounceType,TriggererSendDefinitionObjectID,TriggeredSendCustomerKey
270540,514002572,,162589,155,5008,118009928,00224551248,12/23/2021 11:14:26 AM,True,gmail.com,1,,,,0,immediate,,
270544,514002572,,162589,155,12007,118010045,00239862554,12/23/2021 11:08:26 AM,True,hotmail.com,1,,,,1,delayed,,
270547,514002572,,162589,155,12007,118010077,00245378880,12/23/2021 11:08:33 AM,True,hotmail.com,1,,,,1,delayed,,
270548,514002572,,162589,155,2004,113457349,00247460702,12/23/2021 11:13:52 AM,True,hotmail.com,1,,,,0,immediate,,
270550,514002572,,162589,155,28005,117876544,00251382869,12/23/2021 11:14:13 AM,True,live.com,1,,,,0,immediate,,
270552,514002572,,148265,1898,11,114330779,00255033249,11/18/2021 10:38:50 AM,True,gmail.com,1,,,,0,immediate,,
270557,514002572,,157427,155,70,79314000,00265657814,1/10/2022 12:04:49 PM,True,bol.com.br,1,,,,1,delayed,483FB77B-0F59-EC11-A311-48DF370EABE5,56345
270559,514002572,,162589,155,21002,111065346,00274283387,12/23/2021 11:08:15 AM,True,gmail.com,1,,,,0,immediate,,
270565,514002572,,162589,155,8006,118009107,00112557651,12/23/2021 11:14:24 AM,True,gmail.com,1,,,,0,immediate,,
270567,514002572,,162589,155,8006,118009174,00121872831,12/23/2021 11:14:25 AM,True,gmail.com,1,,,,0,immediate,,
270568,514002572,,162589,155,8006,118009190,00123858160,12/23/2021 11:13:58 AM,True,hotmail.com,1,,,,0,immediate,,
270569,514002572,,162589,155,8006,118009257,00133519902,12/23/2021 11:13:59 AM,True,hotmail.com,1,,,,0,immediate,,
270572,514002572,,162589,155,8006,118009359,00146579100,12/23/2021 11:14:26 AM,True,gmail.com,1,,,,0,immediate,,
270576,514002572,,162589,155,8006,118009408,00152936106,12/23/2021 11:08:55 AM,True,hotmail.com,1,,,,1,delayed,,
270578,514002572,,162589,155,8006,118009441,00158286545,12/23/2021 11:14:26 AM,True,gmail.com,1,,,,0,immediate,,
270580,514002572,,164085,155,16003,109687202,00202629813,12/29/2021 2:08:08 PM,True,ig.com.br,1,,,,0,immediate,,
270581,514002572,,163710,155,18006,118342557,00202660818,12/28/2021 7:23:19 AM,True,uol.com.br,1,,,,0,immediate,,
