_CustomObjectKey,SubscriberKey,EventDate,JobID,URL,SubscriberID
3255638,0036g00002cSKftAAG,9/1/2023 3:11:23 AM,285792," https://www.brasilcap.com.br",245413282
3255639,0036g00002cSKftAAG,9/1/2023 3:11:23 AM,285792," https://www.brasilcap.com.br",245413282
3255640,0036g00002cScsSAAS,9/1/2023 3:22:47 AM,170706,"                                https://www.brasilcap.com.br",245714127
3255641,0036g00001y1BX0AAM,9/1/2023 4:03:56 AM,302266,https://www.brasilcap.com.br/,179892370
3255642,0036g00002TbTMqAAN,9/1/2023 5:12:49 AM,293951,https://www.brasilcap.com.br/,235568924
3255643,0036g00002TbTMqAAN,9/1/2023 5:14:43 AM,293951,https://www.brasilcap.com.br/,235568924
3255644,0036g00002TbTMqAAN,9/1/2023 5:15:00 AM,293951,https://www.brasilcap.com.br/,235568924
3255645,0036g00002TbTMqAAN,9/1/2023 5:16:27 AM,293951,https://www.brasilcap.com.br/,235568924
3255646,0036g00001bfNsIAAU,9/1/2023 5:16:31 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,175405796
3255647,0036g000028WeIyAAK,9/1/2023 5:16:31 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,209772914
3255648,0036g00001SSlYAAA1,9/1/2023 5:16:45 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,174675669
3255649,0036g00001RYF5eAAH,9/1/2023 5:16:45 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,209831307
3255650,0036g00001SSlYAAA1,9/1/2023 5:16:44 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,174675669
3255651,0036g000020m5H8AAI,9/1/2023 5:16:49 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,178348992
3255652,0036g00001RVSL5AAP,9/1/2023 5:16:44 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,174470360
3255653,0036g00001Py154AAB,9/1/2023 5:16:50 AM,281415,http://view.relacionamento-brasilcap.com.br/?j=feca167874600578&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,240237500
3255654,0036g00001Pz9ATAAZ,9/1/2023 5:16:48 AM,281415,https://www.brasilcap.com.br/brasilcap/apoio/fale-conosco/fale-conosco.html,173654570
