_CustomObjectKey,SubscriberKey,JobID,EventDate,BounceType
7671301,0036g00001SwDayAAF,170706,9/1/2023 11:31:00 AM,immediate
7671302,0036g00001V2AaWAAV,170706,9/1/2023 11:25:34 AM,delayed
7671303,0036g00001krtf0AAA,170706,9/4/2023 11:43:58 AM,immediate
7671304,0036g00001QxVFlAAN,170706,9/1/2023 11:31:00 AM,immediate
7671305,0036g00001Uyk8GAAR,170706,9/1/2023 11:31:00 AM,immediate
7671306,0036g00001syqgFAAQ,170706,9/1/2023 11:25:33 AM,delayed
7671307,0036g00002cScm0AAC,170706,9/1/2023 11:31:00 AM,immediate
7671308,0036g00002cSlfFAAS,170706,9/1/2023 11:31:00 AM,immediate
7671309,0036g00002cSljqAAC,170706,9/1/2023 11:31:00 AM,immediate
7671310,0036g00002cSloAAAS,170706,9/1/2023 11:31:00 AM,immediate
7671311,0036g00001UyFDNAA3,170706,9/1/2023 11:31:00 AM,immediate
7671312,0036g00001QmYUKAA3,170706,9/1/2023 11:31:00 AM,immediate
7671313,0036g00001RuBwDAAV,170706,9/1/2023 11:31:00 AM,immediate
7671314,0036g00001OZmxKAAT,170706,9/1/2023 11:31:00 AM,immediate
7671315,0036g00002cSlbcAAC,170706,9/1/2023 11:31:00 AM,immediate
7671316,0036g00002cSlbTAAS,170706,9/1/2023 11:31:00 AM,immediate
7671317,0036g00002cSlVYAA0,170706,9/1/2023 11:31:00 AM,immediate
7671318,0036g00002cSlYOAA0,170706,9/1/2023 11:31:00 AM,immediate
7671319,0036g00002cSlwcAAC,170706,9/1/2023 11:25:35 AM,delayed
7671320,0036g00002cT93HAAS,170706,9/1/2023 11:31:00 AM,immediate
7671321,0036g00001SU68KAAT,170706,9/1/2023 11:31:00 AM,immediate
7671322,0036g00002Tax2aAAB,170706,9/1/2023 11:31:00 AM,immediate
7671323,0036g00002cSlomAAC,170706,9/1/2023 11:31:00 AM,immediate
7671324,0036g00002cT9QvAAK,170706,9/1/2023 11:31:00 AM,immediate
7671325,0036g00001a05SuAAI,170706,9/1/2023 11:31:00 AM,immediate
