_CustomObjectKey,ID_PROPOSTA,ID_PLANO,DT_AGENDAMENTO,DATA_PROPOSTA,ID_AGENTE,CPF_CNPJ_TITULAR,CPF_CNPJ_SUBSCRITOR
518,44827630,"A48PU ",,,,,
519,44830187,"B36PU ",,,,,
520,44830539,"A48PM ",,,,,
521,44830127,"A60PM ",,,,,
522,44830924,"A36PU ",,,,,
523,44827865,"A60PM ",,,,,
524,44830021,"A60PM ",,,,,
525,44826918,"E48PM ",,,,,
526,44830536,"D48PM ",,,,,
527,44830779,"A60PM ",,,,,
528,44828322,"A60PM ",,,,,
529,44830866,"A36PU ",,,,,
530,44828547,"A36PU ",,,,,
531,44831042,"C36PU ",,,,,
532,44830980,"A48PU ",,,,,
533,44830031,"A48PU ",,,,,
534,44827204,"B36PU ",,,,,
535,44828621,"A36PU ",,,,,
536,44829864,"A48PM ",,,,,
537,44827285,"A60PM ",,,,,
538,44828196,"B36PU ",,,,,
539,44830519,"A36PU ",,,,,
540,2005026370,PU001D,,,,,
541,44829101,"C36PU ",,,,,
542,44826929,"E48PM ",,,,,
543,44829578,"B36PM ",,,,,
544,44827184,"A60PM ",,,,,
545,44827668,"A60PM ",,,,,
546,44828797,"C36PU ",,,,,
547,44829057,"C36PU ",,,,,
548,44825294,"A48PM ",,,,,
549,44830998,"B36PU ",,,,,
550,44830470,"A48PU ",,,,,
551,44828473,"A60PM ",,,,,
552,2005026321,PU001Q,,,,,
553,44829074,"A60PM ",,,,,
554,44830434,"B36PU ",,,,,
555,44829043,"D36PU ",,,,,
556,44823609,"A36PU ",,,,,
557,44829942,"A60PM ",,,,,
558,44828082,"A36PU ",,,,,
559,44829088,"A48PM ",,,,,
560,44824898,"C36PU ",,,,,
561,44830903,"B36PU ",,,,,
562,44829113,"A60PM ",,,,,
563,44827880,"A60PM ",,,,,
564,44826956,"A60PM ",,,,,
565,44828948,"A60PM ",,,,,
566,44829030,"A48PM ",,,,,
567,44826780,"A60PM ",,,,,
568,44831121,"C36PU ",,,,,
569,44828784,"A60PM ",,,,,
570,44828066,"A48PU ",,,,,
571,44827419,"D36PU ",,,,,
572,44826853,"E48PM ",,,,,
573,44827824,"A60PM ",,,,,
574,44828620,"A60PM ",,,,,
575,44827277,"A60PM ",,,,,
576,44827831,"A60PM ",,,,,
577,44830567,"B36PU ",,,,,
578,44829525,"A48PU ",,,,,
579,2005026364,PU001D,,,,,
580,44830307,"A60PM ",,,,,
581,44831068,"B36PU ",,,,,
582,44828434,"A60PM ",,,,,
583,44827156,"A48PM ",,,,,
584,44827914,"A60PM ",,,,,
585,44829697,"A48PM ",,,,,
586,44830353,"C36PU ",,,,,
587,44830957,"A48PU ",,,,,
588,44830330,"A60PM ",,,,,
589,44827192,"A60PM ",,,,,
590,44829160,"B36PU ",,,,,
591,44829466,"A48PU ",,,,,
592,44827282,"A60PM ",,,,,
593,44827950,"A60PM ",,,,,
594,44828709,"A60PM ",,,,,
595,44828732,"B60PM ",,,,,
596,44828990,"A36PU ",,,,,
597,44826936,"F48PM ",,,,,
598,44826962,"F48PM ",,,,,
599,44828630,"C36PU ",,,,,
600,44826862,"F48PM ",,,,,
601,44827325,"A48PU ",,,,,
602,44829306,"A48PM ",,,,,
603,44827299,"A48PU ",,,,,
604,44828387,"B36PU ",,,,,
605,44827845,"A60PM ",,,,,
606,44828661,"A60PM ",,,,,
607,44828485,"A60PM ",,,,,
608,44830319,"A60PM ",,,,,
609,44829513,"A60PM ",,,,,
610,44830184,"A60PM ",,,,,
611,44828494,"A48PM ",,,,,
612,2005026371,PU001D,,,,,
613,44830197,"A60PM ",,,,,
614,44828830,"A48PM ",,,,,
615,44827995,"A60PM ",,,,,
616,44829740,"A60PM ",,,,,
617,44827492,"A48PM ",,,,,
618,44830970,"B48PU ",,,,,
619,44830659,"A48PM ",,,,,
620,44829514,"A60PM ",,,,,
621,44829612,"A48PM ",,,,,
622,44827651,"A60PM ",,,,,
623,44827342,"A60PM ",,,,,
624,44829219,"B48PM ",,,,,
625,44828997,"A36PU ",,,,,
626,44827496,"B60PM ",,,,,
627,44828329,"C36PU ",,,,,
628,44827937,"A48PU ",,,,,
629,44828094,"A48PU ",,,,,
630,44830603,"A48PU ",,,,,
631,44828250,"B36PU ",,,,,
632,44829787,"A48PM ",,,,,
633,44827516,"A60PM ",,,,,
634,44830324,"A48PM ",,,,,
635,44827221,"A60PM ",,,,,
636,44827552,"A36PU ",,,,,
637,44827889,"C36PU ",,,,,
638,44828519,"A48PM ",,,,,
639,44829922,"A48PM ",,,,,
640,44829672,"A60PM ",,,,,
641,44826518,"A60PM ",,,,,
642,44830990,"A48PU ",,,,,
643,44827881,"D48PM ",,,,,
644,44830904,"A36PU ",,,,,
645,44828016,"B36PU ",,,,,
646,44828691,"C48PM ",,,,,
647,44829557,"A48PM ",,,,,
648,44829108,"A60PM ",,,,,
649,44829014,"A60PM ",,,,,
650,44829488,"A60PM ",,,,,
651,44830102,"A36PU ",,,,,
652,44829285,"A48PM ",,,,,
653,44829016,"B48PU ",,,,,
654,44827084,"A60PM ",,,,,
655,44831074,"B36PU ",,,,,
656,44827234,"A60PM ",,,,,
657,44831113,"B36PU ",,,,,
658,44826538,"D36PU ",,,,,
659,44828334,"C36PU ",,,,,
660,44827479,"A48PM ",,,,,
661,44830133,"A48PU ",,,,,
662,44828010,"A48PU ",,,,,
663,44828227,"A48PU ",,,,,
664,44830482,"A48PM ",,,,,
665,44830753,"A48PM ",,,,,
666,44829939,"B60PM ",,,,,
667,44828438,"D36PU ",,,,,
668,44829114,"A60PM ",,,,,
669,44828074,"A48PM ",,,,,
670,44828552,"A60PM ",,,,,
671,44830427,"A60PM ",,,,,
672,44829908,"A60PM ",,,,,
673,44829950,"A48PM ",,,,,
674,44828778,"B48PU ",,,,,
675,44829061,"A60PM ",,,,,
676,44829266,"A60PM ",,,,,
677,44830270,"A60PM ",,,,,
678,44827093,"A60PM ",,,,,
679,44829366,"A60PM ",,,,,
680,44830686,"A60PM ",,,,,
681,44830833,"C36PM ",,,,,
682,44831056,"B36PU ",,,,,
683,44826824,"F48PM ",,,,,
684,44829207,"A48PU ",,,,,
685,44829855,"A60PM ",,,,,
686,44830778,"A60PM ",,,,,
687,44829755,"E60PM ",,,,,
688,44828158,"A60PM ",,,,,
689,44827833,"A48PM ",,,,,
690,44829905,"C48PM ",,,,,
691,44827375,"A60PM ",,,,,
692,44828535,"A60PM ",,,,,
693,44829772,"A48PM ",,,,,
694,44828417,"A48PM ",,,,,
695,44828930,"A60PM ",,,,,
696,44828651,"A48PM ",,,,,
697,44826870,"G48PM ",,,,,
698,44827329,"A60PM ",,,,,
699,44830945,"A48PU ",,,,,
700,44830803,"E60PM ",,,,,
701,44826825,"F48PM ",,,,,
702,44829152,"A60PM ",,,,,
703,44827401,"A60PM ",,,,,
704,44828265,"A60PM ",,,,,
705,44830844,"B60PM ",,,,,
706,44829374,"A60PM ",,,,,
707,44829724,"A48PU ",,,,,
