_CustomObjectKey,ID_PAGAMENTO,ID_PROPOSTA,ID_PLANO,DATA_ULT_AGENDAMENTO,DESC_STATUS_PAGAMENTO,COD_RETORNO
4865549,11775207,9353832,"PM48M ",05/02/2021,Queda de previa,
4865550,11776236,14784705,"PP60  ",04/01/2008,Queda de previa,
4865551,11782706,11757577,"PU36M ",04/01/2008,Queda de previa,
4865552,11797948,11664286,"PU36N ",07/01/2008,Queda de previa,
4865553,11797952,11736632,"PU36M ",04/01/2008,Queda de previa,
4865554,11793683,4740972,"PU24A ",12/06/2002,Queda de previa,
4865555,11793685,6254458,"PU36A ",04/05/2005,Queda de previa,
4865556,11752866,10562604,"PU36M ",28/11/2007,Queda de previa,
4865557,11748753,12152247,"PM48M ",04/01/2008,Queda de previa,
4865558,11749273,12160769,"PM48M ",04/01/2008,Queda de previa,
4865559,11749283,12534614,"PM48M ",07/02/2007,Queda de previa,
4865560,11750119,10813130,"PM48M ",21/09/2005,Queda de previa,
4865561,11758338,12273986,"PP60  ",04/01/2008,Queda de previa,
4865562,11750743,11973103,"PM48M ",04/01/2008,Queda de previa,
4865563,11750755,10607564,"PM48M ",04/01/2008,Queda de previa,
4865564,11747747,14582587,"PM48M ",04/01/2008,Queda de previa,
4865565,11747782,14401407,"PM48M ",04/01/2008,Queda de previa,
4865566,11747804,5391853,"PU36A ",30/05/2007,Queda de previa,
4865567,11748636,9887196,"PM48M ",04/01/2008,Queda de previa,
4865568,11748942,12239723,"PP60  ",04/01/2008,Queda de previa,
4865569,11748953,4972750,"PM48  ",19/03/2003,Queda de previa,
4865570,11749619,12285248,"PP60  ",04/01/2008,Queda de previa,
4865571,11749623,10102214,"PM48M ",28/04/2005,Queda de previa,
4865572,11749634,4740973,"PU24A ",12/06/2002,Queda de previa,
4865573,11763279,5848788,"PU36A ",05/05/2004,Queda de previa,
4865574,11763291,14305260,"PM48M ",04/01/2008,Queda de previa,
4865575,11763387,13378847,"PM48M ",23/05/2007,Queda de previa,
4865576,11786099,12285894,"PP60  ",04/01/2008,Queda de previa,
4865577,11802481,11817911,"PM06H ",04/01/2008,Queda de previa,
4865578,12276895,13584516,"PP60  ",20/06/2008,Queda de previa,
4865579,11770378,14616645,"PM48M ",07/01/2008,Queda de previa,
4865580,11787754,12278767,"PM48M ",04/01/2008,Queda de previa,
4865581,11819814,14466696,"PP60  ",04/01/2008,Queda de previa,
4865582,11819815,14870919,"PP60  ",04/01/2008,Queda de previa,
4865583,11767158,4007375,"PM36A ",26/12/2002,Queda de previa,
4865584,11767169,6877938,"PM60  ",08/06/2005,Queda de previa,
4865585,11784554,11795367,"PU36M ",04/01/2008,Queda de previa,
4865586,11800957,14850106,"PM48M ",04/01/2008,Queda de previa,
4865587,11811352,10340692,"PU36M ",05/07/2007,Queda de previa,
4865588,11792068,14447109,"PM48M ",04/01/2008,Queda de previa,
4865589,11792071,11760305,"PM06H ",04/01/2008,Queda de previa,
4865590,11792098,14471591,"PM48M ",04/01/2008,Queda de previa,
4865591,11792099,14406544,"PM48M ",04/01/2008,Queda de previa,
4865592,11801531,14786646,"PM48M ",04/01/2008,Queda de previa,
4865593,11771498,7378933,"PU36  ",07/03/2012,Queda de previa,
4865594,11787852,7601567,"PM60  ",21/05/2003,Queda de previa,
4865595,11791704,12989098,"PM48M ",04/01/2008,Queda de previa,
4865596,11807802,4356424,"PM36A ",10/11/2000,Queda de previa,
4865597,11787163,11677197,"PU36R ",04/01/2008,Queda de previa,
4865598,11787175,14722314,"PM48M ",04/01/2008,Queda de previa,
4865599,11766536,14439085,"PM48M ",04/01/2008,Queda de previa,
4865600,11783921,6134346,"PU36A ",28/03/2007,Queda de previa,
4865601,11799200,14790740,"PM48M ",04/01/2008,Queda de previa,
