_CustomObjectKey,AccountID,OYBAccountID,JobID,ListID,BatchID,SubscriberID,SubscriberKey,EventDate,Domain,IsUnique,TriggererSendDefinitionObjectID,TriggeredSendCustomerKey,Data_exclusao
473606,514002572,,231442,155,395,109582349,00000999539,1/4/2023 8:41:13 AM,yahoo.com.br,True,49DFDCB5-A1F1-EC11-A5B6-D4F5EF66AED7,75510,1/25/2023 8:42:20 AM
473607,514002572,,157429,155,58,119284793,00344866823,9/23/2022 4:46:32 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473608,514002572,,157429,155,58,119284793,00344866823,9/23/2022 4:46:50 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473609,514002572,,157429,155,58,119284793,00344866823,2/1/2023 11:14:26 AM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473610,514002572,,157429,155,58,119284793,00344866823,1/6/2023 2:51:12 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473611,514002572,,157429,155,58,119284793,00344866823,1/6/2023 2:53:09 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473612,514002572,,157429,155,58,119284793,00344866823,12/29/2022 3:16:47 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473613,514002572,,157429,155,58,119284793,00344866823,12/29/2022 3:17:09 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473614,514002572,,157429,155,58,119284793,00344866823,12/29/2022 3:18:44 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473615,514002572,,157429,155,248,129166414,00090642309,10/2/2022 4:28:38 PM,gmail.com,False,463FB77B-0F59-EC11-A311-48DF370EABE5,56343,3/19/2023 3:17:33 AM
473616,514002572,,157428,155,156,110574414,00307136337,10/5/2022 8:10:54 AM,gruposcm.com.br,False,473FB77B-0F59-EC11-A311-48DF370EABE5,56344,3/19/2023 3:17:33 AM
473617,514002572,,157428,155,156,110574414,00307136337,10/5/2022 8:13:27 AM,gruposcm.com.br,False,473FB77B-0F59-EC11-A311-48DF370EABE5,56344,3/19/2023 3:17:33 AM
473618,514002572,,157427,155,155,118595500,00318819805,10/10/2022 11:19:17 AM,outlook.com,False,483FB77B-0F59-EC11-A311-48DF370EABE5,56345,3/19/2023 3:17:33 AM
473619,514002572,,157427,155,155,118595500,00318819805,10/10/2022 11:19:17 AM,outlook.com,False,483FB77B-0F59-EC11-A311-48DF370EABE5,56345,3/19/2023 3:17:33 AM
473620,514002572,,157427,155,155,118595500,00318819805,10/11/2022 6:01:04 PM,outlook.com,False,483FB77B-0F59-EC11-A311-48DF370EABE5,56345,3/19/2023 3:17:33 AM
473621,514002572,,157427,155,155,118595500,00318819805,10/12/2022 4:42:21 PM,outlook.com,False,483FB77B-0F59-EC11-A311-48DF370EABE5,56345,3/19/2023 3:17:33 AM
473622,514002572,,157427,155,155,118595500,00318819805,10/14/2022 5:29:29 AM,outlook.com,False,483FB77B-0F59-EC11-A311-48DF370EABE5,56345,3/19/2023 3:17:33 AM
