_CustomObjectKey,VersionID,JourneyID,JourneyName,VersionNumber,CreatedDate,LastPublishedDate,ModifiedDate,JourneyStatus
554,A0E5D194-554F-4D3E-9D5B-F5CA24DE04C7,A0E5D194-554F-4D3E-9D5B-F5CA24DE04C7,Verificação Journey para Criar CxP,1,3/15/2021 3:51:39 PM,,3/15/2021 3:51:39 PM,Draft
555,81D336C1-A498-4640-AEF5-A2BE3DB1AD0C,8C1116E3-6CD6-43AF-88B8-F64AED4D49F5,JB_CAMPANHA_OFFLINE_PROSPECT_SEM_OTC_TMKT,3,7/5/2021 6:06:40 PM,7/5/2021 6:12:53 PM,7/5/2021 6:12:53 PM,Running
556,D7C0D3C9-6C4F-49E0-8E38-F0A3D4D6863E,8C1116E3-6CD6-43AF-88B8-F64AED4D49F5,JB_CAMPANHA_OFFLINE_PROSPECT_SEM_OTC_TMKT,2,3/22/2021 2:36:17 PM,3/22/2021 2:38:29 PM,7/5/2021 6:12:53 PM,Finishing
557,8C1116E3-6CD6-43AF-88B8-F64AED4D49F5,8C1116E3-6CD6-43AF-88B8-F64AED4D49F5,JB_CAMPANHA_OFFLINE_PROSPECT_SEM_OTC_TMKT,1,3/3/2021 3:23:26 PM,3/3/2021 3:24:36 PM,3/22/2021 2:38:29 PM,Finishing
558,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,1,3/3/2021 3:20:47 PM,3/3/2021 3:21:32 PM,3/22/2021 1:40:09 PM,Finishing
559,BBC235BB-9C9B-43E6-93A9-2403E419913A,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,6,6/7/2021 4:40:25 PM,6/7/2021 4:58:40 PM,7/5/2021 6:10:58 PM,Finishing
560,38F78519-B711-4292-83E2-3579F36B2764,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,9,7/22/2021 7:17:28 AM,7/22/2021 7:23:13 AM,7/22/2021 7:23:13 AM,Running
561,8E0FBE68-6D84-4F67-93B0-48133D635D7E,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,5,6/3/2021 8:25:11 AM,6/3/2021 8:30:26 AM,6/7/2021 4:58:40 PM,Finishing
562,864EB7A0-7347-42C1-9854-49CF403F875A,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,4,4/29/2021 8:50:24 AM,6/3/2021 8:07:44 AM,6/3/2021 8:30:26 AM,Finishing
563,579B58C1-3E45-4232-B10F-68E8394DDD51,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,2,3/22/2021 12:49:02 PM,3/22/2021 1:40:09 PM,3/22/2021 2:50:09 PM,Finishing
564,AE04BEB9-BD2E-44AA-9081-6C7DE89A62F1,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,10,10/11/2021 6:50:22 PM,,10/11/2021 6:50:22 PM,Draft
565,4216B2CA-FB0B-433D-8C19-B1FF75B16B50,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,7,6/29/2021 10:12:24 AM,,7/5/2021 6:10:58 PM,Deleted
566,61D97D25-C21E-404C-A764-DC797AA694F2,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,3,3/22/2021 2:48:19 PM,3/22/2021 2:50:09 PM,6/3/2021 8:07:44 AM,Finishing
567,79C568AE-7F2A-4D18-9D0E-DD317332A441,37D9F2E3-753F-4BA2-96F1-0D5B8F046488,JB_CAMPANHA_OFFLINE_PROSPECT_COM_OTC_TEO,8,7/5/2021 6:06:30 PM,7/5/2021 6:10:58 PM,7/22/2021 7:23:13 AM,Finishing
568,94BB1E4C-7746-4168-A7CF-0D8B58CE467E,94BB1E4C-7746-4168-A7CF-0D8B58CE467E," JB_CAMPANHA_RECOMANDO_G2_Teste",1,4/8/2021 3:13:05 PM,4/8/2021 3:14:43 PM,4/10/2021 7:52:39 AM,Stopped
