_CustomObjectKey,id_proposta,CREATEDDATE,DATA_ORIGEM_VENDA_AGENDADA__C,ORIGEM_VENDA_AGENDADA__C,QUANTIDADE_VENDA_AGENDADA__C,NUMERO_VENDA_AGENDADA__C,ID_VENDA_AGENDADA__C
2,a0g6g000008QI4mAAG,Sep  4 2023  1:19PM,Nov 30 2022 12:00AM,3667818,12,9,120
3,a0g6g000008QICBAA4,Sep  4 2023  1:19PM,Jan 31 2023 12:00AM,3667819,12,7,184
4,a0g6g000008QIBnAAO,Sep  4 2023  1:19PM,Jun 28 2023 12:00AM,3667820,12,2,278
5,a0g6g000008QICGAA4,Sep  4 2023  1:20PM,Dec 27 2022 12:00AM,3667608,12,8,158
6,a0g6g000008QICLAA4,Sep  4 2023  1:20PM,May 27 2023 12:00AM,3667609,3,3,276
7,a0g6g000008QICVAA4,Sep  4 2023  1:20PM,May 23 2023 12:00AM,3656916,12,3,264
8,a0g6g000008QICaAAO,Sep  4 2023  1:20PM,Dec 18 2022 12:00AM,3642660,12,8,143
9,a0g6g000008QICkAAO,Sep  4 2023  1:21PM,Dec 15 2022 12:00AM,3627992,12,8,131
10,a0g6g000008QICuAAO,Sep  4 2023  1:21PM,Mar 14 2023 12:00AM,3623284,12,5,218
11,a0g6g000008QID4AAO,Sep  4 2023  1:21PM,Feb  8 2023 12:00AM,3611778,12,6,198
12,a0g6g000008QIBTAA4,Sep  4 2023  1:21PM,Nov  5 2022 12:00AM,3609533,12,9,66
13,a0g6g000008QIDEAA4,Sep  4 2023  1:21PM,Nov 30 2022 12:00AM,3591598,12,8,119
