_CustomObjectKey,ID,hc_classificacao__c,hc_classificacao__c_old,Data_Inclusao
1,a0i6g000006GyfdAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
2,a0i6g000006H0JhAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
3,a0i6g000006H1ChAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
4,a0i6g000006H2HPAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
5,a0i6g000006H3Q3AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
6,a0i6g000006H5LbAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
7,a0i6g000006H6GJAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
8,a0i6g000006HAaJAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
9,a0i6g000006HC55AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
10,a0i6g000006HFnDAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
11,a0i6g000006HSj3AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
12,a0i6g000006HUUUAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
13,a0i6g000006HYtCAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
14,a0i6g000006Hb9MAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
15,a0i6g000006HbJBAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
16,a0i6g000006Hl32AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
17,a0i6g000006HmgYAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
18,a0i6g000006HuGGAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
19,a0i6g000006HxZOAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
20,a0i6g000006I04TAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
21,a0i6g000006I2xCAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
22,a0i6g000006I8VtAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
23,a0i6g000006ICaoAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
24,a0i6g000006IDrwAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
25,a0i6g000006IFHmAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
26,a0i6g000006IIAGAA4,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
27,a0i6g000006IK1zAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
28,a0i6g000006IRejAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
29,a0i6g000006ISZfAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
30,a0i6g000006IUKPAA4,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
31,a0i6g000006IUifAAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
32,a0i6g000006Iam2AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
33,a0i6g000006IdGZAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
34,a0i6g000006IeCAAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
35,a0i6g000006IienAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
36,a0i6g000006IlNxAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
37,a0i6g000006IlvpAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
38,a0i6g000006Ion1AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
39,a0i6g000006Ip7gAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
40,a0i6g000006IsPRAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
41,a0i6g000006ItnPAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
42,a0i6g000006ItvqAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
43,a0i6g000006Ity6AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
44,a0i6g000006IviTAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
45,a0i6g000006IwfhAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
46,a0i6g000006IxKeAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
47,a0i6g000006J2nBAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
48,a0i6g000006J3hyAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
49,a0i6g000006J6UeAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
50,a0i6g000006JCzVAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
51,a0i6g000006JIIXAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
52,a0i6g000006JJjUAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
53,a0i6g000006JNUGAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
54,a0i6g000006JO3nAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
55,a0i6g000006JPF4AAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
56,a0i6g000006JRRyAAO,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
57,a0i6g000006JTeoAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
58,a0i6g000006JTriAAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
59,a0i6g000006JVwyAAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
60,a0i6g000006JY7WAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
61,a0i6g000006JesQAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
62,a0i6g000006Jp7cAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
63,a0i6g000006JtXhAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
64,a0i6g000006Jw4nAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
65,a0i6g000006K1s8AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
66,a0i6g000006K4n3AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
