_CustomObjectKey,ID_PROPOSTA,ID_PLANO
2,16816914,PP60M
3,16817323,PP60M
4,16817769,PP60M
5,16818408,PP60M
6,16818730,PP60M
7,16819134,PP60M
8,16819905,PP60M
9,16820543,PP60M
10,16830587,PP60M
11,16830601,PP60M
12,16824041,PP60M
13,16824495,PP60M
14,16825405,PP60M
15,16826425,PP60M
16,16827762,PP60M
17,16834926,PP60M
18,16831175,PP60M
19,16831222,PP60M
20,16831368,PP60M
21,16831873,PP60M
22,16832040,PP60M
23,16832534,PP60M
24,16833114,PP60M
25,16840812,PP60M
26,16841193,PP60M
27,16837587,PP60M
28,16837822,PP60M
29,16837973,PP60M
30,16838832,PP60M
31,16838870,PP60M
32,16839339,PP60M
33,16845856,PP60M
34,16846211,PP60M
35,16842153,PP60M
36,16842290,PP60M
37,16842901,PP60M
38,16844036,PP60M
39,16844609,PP60M
40,16844746,PP60M
41,16844755,PP60M
42,16844790,PP60M
43,16845005,PP60M
44,16850689,PP60M
45,16850775,PP60M
46,16851108,PP60M
47,16847744,PP60M
48,16847817,PP60M
49,16847864,PP60M
50,16848992,PP60M
51,16849285,PP60M
52,16849775,PP60M
53,16849776,PP60M
54,16849957,PP60M
55,16850128,PP60M
56,16854966,PP60M
57,16855238,PP60M
58,16856019,PP60M
59,16851306,PP60M
60,16851338,PP60M
61,16851508,PP60M
62,16851731,PP60M
63,16851840,PP60M
64,16852567,PP60M
65,16853661,PP60M
66,16854545,PP60M
67,16854704,PP60M
68,16860401,PP60M
69,16860596,PP60M
70,16856355,PP60M
71,16857198,PP60M
72,16857337,PP60M
73,16857685,PP60M
74,16857988,PP60M
75,16858006,PP60M
76,16861680,PP60M
77,16861730,PP60M
78,16865832,PP60M
79,16865857,PP60M
80,16864386,PP60M
81,16865000,PP60M
82,16865398,PP60M
83,16861105,PP60M
84,16861326,PP60M
85,16871434,PP60M
86,16872645,PP60M
87,16867245,PP60M
88,16867616,PP60M
89,16868338,PP60M
90,16868351,PP60M
91,16868375,PP60M
92,16869837,PP60M
93,16870630,PP60M
94,16870835,PP60M
95,16873459,PP60M
96,16876269,PP60M
97,16873860,PP60M
98,16873871,PP60M
99,16873955,PP60M
100,16874416,PP60M
101,16875066,PP60M
102,16875834,PP60M
103,16875968,PP60M
104,16873078,PP60M
105,16881089,PP60M
106,16881486,PP60M
107,16881867,PP60M
108,16877572,PP60M
109,16877601,PP60M
110,16877730,PP60M
111,16878988,PP60M
112,16879270,PP60M
113,16879300,PP60M
114,16879959,PP60M
115,16880874,PP60M
116,16884397,PP60M
117,16885582,PP60M
118,16885617,PP60M
119,16886091,PP60M
120,16888467,PP60M
121,16890677,PP60M
122,16891394,PP60M
123,16891829,PP60M
124,16891926,PP60M
125,16892007,PP60M
126,16888692,PP60M
127,16889144,PP60M
128,16889286,PP60M
129,16889681,PP60M
130,16889879,PP60M
131,16889912,PP60M
132,16890096,PP60M
133,16890641,PP60M
134,16897178,PP60M
135,16893770,PP60M
136,16894028,PP60M
137,16894186,PP60M
138,16894696,PP60M
139,16895578,PP60M
140,16892415,PP60M
141,16901130,PP60M
142,16901199,PP60M
143,16901246,PP60M
144,16901636,PP60M
145,16897855,PP60M
146,16897963,PP60M
147,16898711,PP60M
148,16898740,PP60M
149,16898940,PP60M
150,16899134,PP60M
151,16899432,PP60M
152,16899842,PP60M
153,16900055,PP60M
154,16906590,PP60M
155,16906930,PP60M
156,16903807,PP60M
157,16904272,PP60M
158,16904510,PP60M
159,16905922,PP60M
160,16906087,PP60M
161,16902447,PP60M
162,16908300,PP60M
163,16908314,PP60M
164,16908632,PP60M
165,16909633,PP60M
166,16909815,PP60M
167,16911318,PP60M
168,16907422,PP60M
169,16917110,PP60M
170,16917539,PP60M
171,16917861,PP60M
172,16914759,PP60M
173,16915386,PP60M
174,16915593,PP60M
175,16916687,PP60M
176,16913309,PP60M
177,16921313,PP60M
178,16921425,PP60M
179,16921650,PP60M
180,16921863,PP60M
181,16922359,PP60M
182,16922440,PP60M
183,16922448,PP60M
184,16922483,PP60M
185,16919013,PP60M
186,16920509,PP60M
187,16926364,PP60M
188,16927370,PP60M
189,16923545,PP60M
190,16925468,PP60M
191,16922676,PP60M
192,16928173,PP60M
193,16928229,PP60M
194,16931270,PP60M
195,16928377,PP60M
196,16928999,PP60M
197,16929085,PP60M
198,16929422,PP60M
199,16929572,PP60M
200,16929990,PP60M
201,16930261,PP60M
202,16935543,PP60M
203,16932657,PP60M
204,16932849,PP60M
205,16933871,PP60M
206,16934370,PP60M
207,16941404,PP60M
208,16936404,PP60M
209,16936500,PP60M
210,16936991,PP60M
211,16939382,PP60M
212,16939519,PP60M
213,16939610,PP60M
214,16940142,PP60M
215,16940877,PP60M
216,16945856,PP60M
217,16946427,PP60M
218,16946852,PP60M
219,16946997,PP60M
220,16943404,PP60M
221,16943633,PP60M
222,16943729,PP60M
223,16945035,PP60M
224,16945538,PP60M
225,16941886,PP60M
226,16942101,PP60M
227,16947736,PP60M
228,16948453,PP60M
229,16950386,PP60M
230,16950467,PP60M
231,16947392,PP60M
232,16947532,PP60M
233,16947627,PP60M
234,16957287,PP60M
235,16957382,PP60M
236,16957834,PP60M
237,16953363,PP60M
238,16954397,PP60M
239,16956591,PP60M
240,16952436,PP60M
241,16962381,PP60M
242,16962478,PP60M
243,16963184,PP60M
244,16958494,PP60M
245,16958536,PP60M
246,16959752,PP60M
247,16960202,PP60M
248,16961321,PP60M
249,16967554,PP60M
250,16968096,PP60M
251,16968131,PP60M
252,16964933,PP60M
253,16964959,PP60M
254,16965220,PP60M
255,16965487,PP60M
256,16966452,PP60M
257,16966569,PP60M
258,16966703,PP60M
259,16973190,PP60M
260,16972711,PP60M
261,16972941,PP60M
262,16976551,PP60M
263,16976688,PP60M
264,16976728,PP60M
265,16977136,PP60M
266,16977712,PP60M
267,16977723,PP60M
268,16978037,PP60M
269,16975172,PP60M
270,16975289,PP60M
271,16986051,PP60M
272,16986129,PP60M
273,16980608,PP60M
274,16981170,PP60M
275,16981397,PP60M
276,16981526,PP60M
277,16981850,PP60M
278,16981981,PP60M
279,16982305,PP60M
280,16982442,PP60M
281,16982775,PP60M
282,16983012,PP60M
283,16983593,PP60M
284,16992413,PP60M
285,16993429,PP60M
286,16988972,PP60M
287,16986786,PP60M
288,16994629,PP60M
289,16994731,PP60M
290,16995210,PP60M
291,16995690,PP60M
292,16997372,PP60M
293,16997463,PP60M
294,16997777,PP60M
295,16997798,PP60M
296,16997836,PP60M
297,16993840,PP60M
