_CustomObjectKey,id_titulo,Id_Serie,id_plano,Data_Pagamento_Resgate
21282060,105248,AA,"PUA24 ",2022-03-06
21282061,407409,AA,"PM483 ",2022-03-05
21282062,39939,AA,"36PUA ",2022-03-06
21282063,34884,AJ,"PU36W ",2022-03-07
21282064,184949,AG,"PU36W ",2022-03-07
21282065,34592,AJ,"PU36W ",2022-03-07
21282066,34781,AJ,"PU36W ",2022-03-07
21282067,185037,AG,"PU36W ",2022-03-07
21282068,254948,AA,"A48PM ",2022-02-01
21282069,405344,AA,"PM48G ",2022-03-04
21282070,34719,AJ,"PU36W ",2022-03-07
21282071,146985,AH,"PU36W ",2022-03-07
21282072,146984,AH,"PU36W ",2022-03-07
21282073,86749,AI,"PU36W ",2022-03-07
21282074,57563,AA,"36PUA ",2022-03-27
21282075,57616,AA,"36PUA ",2022-03-27
21282076,59170,AA,"36PUA ",2022-03-27
21282077,58172,AA,"36PUA ",2022-03-27
21282078,59183,AA,"36PUA ",2022-03-27
21282079,48886,AB,"PM60V ",2022-01-05
21282080,552451,AA,"PM488 ",2021-11-10
21282081,10894,AF,"PU48W ",2021-12-08
21282082,99793,AH,"PU36W ",2021-12-08
21282083,349253,AA,"PM488 ",2022-01-05
21282084,348984,AA,"PM488 ",2022-01-05
21282085,349374,AA,"PM488 ",2022-01-05
21282086,348876,AA,"PM488 ",2022-01-05
21282087,207497,AA,"B48PM ",2022-01-10
21282088,210921,AA,"A48PM ",2022-01-11
21282089,34781,AA,"A36PM ",2022-01-12
21282090,102397,AA,"PUA36 ",2022-02-02
21282091,174771,AA,"PUB36 ",2022-01-14
21282092,346506,AA,"C48PM ",2022-02-01
21282093,357016,AA,"B48PM ",2022-01-12
21282094,346687,AA,"F48PM ",2022-02-01
21282095,76910,AA,"B36PM ",2022-01-20
21282096,98585,AA,"C48PM ",2021-12-17
21282097,199540,AE,"PU36W ",2021-12-29
21282098,193581,AF,"PU36W ",2021-12-29
21282099,193717,AF,"PU36W ",2021-12-29
21282100,27784,AA,"36PUA ",2022-02-18
21282101,110250,AA,"PUC24 ",2022-03-27
21282102,256959,AA,"B48PU ",2023-07-24
21282103,2700949,AA,"PU12C ",2018-12-21
21282104,2703289,AA,"PU12C ",2018-12-21
21282105,2703349,AA,"PU12C ",2018-12-21
21282106,49416,AI,"PU122 ",2018-12-21
