_CustomObjectKey,automationinstancestatus,automationName,activityName,activityType,activityinstancestatus
2,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
3,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
4,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
5,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
6,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
7,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
8,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
9,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
10,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
11,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
12,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
13,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
14,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
15,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
16,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
17,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
18,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
19,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
20,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
21,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
22,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
23,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
24,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
25,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
26,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
27,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
28,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
29,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
30,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
31,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
32,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
33,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
34,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
35,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
36,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
37,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
38,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
39,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
40,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
41,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
42,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
43,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
44,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
45,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
46,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
47,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
48,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
49,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
50,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
51,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
