_CustomObjectKey,ID,ID_TITULO,ID_PLANO,ID_SERIE,STATUS,HC_SITUACAO__C
5654497,a0o6g00000Dg7h7AAB,0,"INC05 ",AC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654498,a0o6g00000DgD8zAAF,0,"INC06 ",AE,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654499,a0o6g00000Dg7h8AAB,0,"INC06 ",AH,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654500,a0o6g000007xQltAAE,0,"PM481 ",AA,Finalizado - Resgate Pago,Finalizado - Antecipado total
5654501,a0o6g000007xjb1AAA,0,"PU589 ",AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654502,a0o6g00000DNgE2AAL,0,PUDB08,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654503,a0o6g00000DR9bRAAT,0,PUIAA1,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654504,a0o6g00000DKbS4AAL,0,PUIAB2,BO,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654505,a0o6g00000DKbS5AAL,0,PUIAB2,BT,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654506,a0o6g00000A59MzAAJ,0,PUIAB2,BU,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654507,a0o6g00000DVqfwAAD,0,PUIBC2,AE,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654508,a0o6g00000Dg73GAAR,0,PUIBC2,DZ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654509,a0o6g00000DWKrDAAX,0,PUIBC2,ED,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654510,a0o6g00000DWQegAAH,0,PUIBC2,EH,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654511,a0o6g000008oYzXAAU,0,PUICP5,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654512,a0o6g00000DXATQAA5,0,PUICP6,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654513,a0o6g000008oZMPAA2,0,PUICP6,AC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654514,a0o6g00000DQDQvAAP,0,PUIFM3,CJ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654515,a0o6g00000DQFjgAAH,0,PUIFM3,DX,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654516,a0o6g00000DX0WXAA1,0,PUIFM4,EC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654517,a0o6g00000DWBB3AAP,0,PUIFM4,FG,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654518,a0o6g00000DKctWAAT,0,PUILC5,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654519,a0o6g00000DgAEHAA3,0,PUIMB1,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654520,a0o6g00000Dg08lAAB,0,PUIMB2,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654521,a0o6g00000DXATIAA5,0,PUINS8,AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654522,a0o6g00000DXATMAA5,0,PUINS8,AH,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654523,a0o6g00000DQDQwAAP,0,PUINS9,AK,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654524,a0o6g00000DQDQyAAP,0,PUINS9,AM,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654525,a0o6g00000DQDQzAAP,0,PUINS9,AN,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654526,a0o6g00000DQDR1AAP,0,PUINS9,AP,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654527,a0o6g00000DWa3mAAD,0,"INC05 ",AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654528,a0o6g00000Dg2MkAAJ,0,"INC06 ",AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654529,a0o6g00000Dg2MhAAJ,0,"INC06 ",AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654530,a0o6g00000DgD91AAF,0,"INC06 ",AG,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654531,a0o6g00000DgD91AAF,0,"INC06 ",AG,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654532,a0o6g00000Dg7hAAAR,0,"INC06 ",AJ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654533,a0o6g00000DKctRAAT,0,PU12IV,AT,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654534,a0o6g00000DKctUAAT,0,PU12IV,AU,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654535,a0o6g00000DQFjoAAH,0,PUI1EP,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654536,a0o6g00000DQ86eAAD,0,PUI1EP,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654537,a0o6g00000DVqfsAAD,0,PUIBC2,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654538,a0o6g00000Dg73DAAR,0,PUIBC2,DW,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654539,a0o6g00000Dg73EAAR,0,PUIBC2,DX,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654540,a0o6g00000DWKrBAAX,0,PUIBC2,EB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654541,a0o6g00000DWKrCAAX,0,PUIBC2,EC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654542,a0o6g00000DWKrFAAX,0,PUIBC2,EF,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654543,a0o6g00000DWQeiAAH,0,PUIBC2,EJ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654544,a0o6g00000DWQejAAH,0,PUIBC2,EK,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654545,a0o6g00000DWFW7AAP,0,PUIBC2,EP,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654546,a0o6g00000DXATRAA5,0,PUICP6,AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654547,a0o6g00000DQCedAAH,0,PUIFM3,AZ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654548,a0o6g000008oYTZAA2,0,PUIFM4,CW,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654549,a0o6g00000DKbfFAAT,0,PUILM2,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654550,a0o6g00000DQFjkAAH,0,PUINS4,AK,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654551,a0o6g00000DQFjlAAH,0,PUINS5,AL,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654552,a0o6g00000DQFjnAAH,0,PUINS7,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654553,a0o6g00000DXATGAA5,0,PUINS8,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654554,a0o6g00000DXATHAA5,0,PUINS8,AC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654555,a0o6g00000DXATKAA5,0,PUINS8,AF,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654556,a0o6g00000DXATOAA5,0,PUINS8,AJ,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654557,a0o6g00000DgD8yAAF,0,"INC06 ",AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654558,a0o6g00000Dg7h9AAB,0,"INC06 ",AI,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654559,a0o6g00000DWa3nAAD,0,"INC06 ",AL,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654560,a0o6g00000DQ86gAAD,0,PUI1EP,AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654561,a0o6g00000DQFjpAAH,0,PUI2EP,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654562,a0o6g00000DQFcqAAH,0,PUI6EP,AE,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654563,a0o6g00000A59MyAAJ,0,PUIAB2,BP,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654564,a0o6g00000DVqftAAD,0,PUIBC2,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654565,a0o6g00000DVqfuAAD,0,PUIBC2,AC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654566,a0o6g00000DWKrEAAX,0,PUIBC2,EE,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654567,a0o6g00000DWFW4AAP,0,PUIBC2,EM,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654568,a0o6g00000DWFW5AAP,0,PUIBC2,EN,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654569,a0o6g00000DWFW6AAP,0,PUIBC2,EO,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654570,a0o6g000008oYc6AAE,0,PUICP5,AC,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654571,a0o6g00000DXATSAA5,0,PUICP8,AD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654572,a0o6g00000DQCecAAH,0,PUIFM3,AY,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654573,a0o6g000008oY3KAAU,0,PUIFM4,DD,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654574,a0o6g00000A5B79AAF,0,PUILM2,AB,Finalizado - Resgate Pago,Finalizado - Fim de plano
5654575,a0o6g00000DQFcrAAH,0,PUINS1,AA,Finalizado - Resgate Pago,Finalizado - Fim de plano
