_CustomObjectKey,id,Data_Pagamento_Resgate
2,a0o6g000005foP8AAI,2021-01-07
3,a0o6g000005foPGAAY,2019-11-24
4,a0o6g000005foPHAAY,2020-12-27
5,a0o6g000005foPRAAY,2021-03-12
6,a0o6g000005foPmAAI,2020-09-20
7,a0o6g000005foPzAAI,2018-09-10
8,a0o6g000005fodGAAQ,2020-08-23
9,a0o6g000005fodtAAA,2019-04-29
10,a0o6g00000DffwGAAR,2020-06-23
11,a0o6g00000DffwHAAR,2018-11-23
12,a0o6g00000DffwLAAR,2020-06-23
13,a0o6g00000DffwMAAR,2020-06-23
14,a0o6g00000DffwNAAR,2020-06-23
15,a0o6g00000DffwOAAR,2020-06-23
16,a0o6g00000DffwPAAR,2020-06-23
17,a0o6g00000DffwQAAR,2020-06-23
18,a0o6g00000DffwRAAR,2020-06-23
19,a0o6g00000DffwSAAR,2020-06-23
20,a0o6g00000DffwTAAR,2018-09-25
21,a0o6g00000DffwUAAR,2020-06-23
22,a0o6g00000DffwVAAR,2020-06-25
23,a0o6g00000DffwWAAR,2020-06-23
24,a0o6g00000DffwXAAR,2020-06-23
25,a0o6g00000DffwYAAR,2020-06-23
26,a0o6g00000DffwZAAR,2020-06-23
27,a0o6g00000DffwaAAB,2020-06-23
28,a0o6g00000DffwbAAB,2020-06-23
29,a0o6g00000DffwcAAB,2019-06-25
30,a0o6g00000DffwdAAB,2020-06-25
31,a0o6g000005foryAAA,2018-12-10
32,a0o6g000005fp78AAA,2021-01-30
33,a0o6g000005fp7GAAQ,2018-09-28
34,a0o6g000005fp7TAAQ,2018-09-18
35,a0o6g000005fp81AAA,2019-12-09
36,a0o6g000005fpK8AAI,2020-01-20
37,a0o6g00000DffX8AAJ,2019-07-31
38,a0o6g00000DffXDAAZ,2019-08-01
39,a0o6g00000DffXEAAZ,2019-08-01
40,a0o6g000005fpZmAAI,2019-02-23
41,a0o6g000005fpmlAAA,2018-09-24
42,a0o6g000005fpmtAAA,2019-09-28
43,a0o6g000005fpn7AAA,2020-06-10
44,a0o6g000005fpniAAA,2019-09-23
45,a0o6g000005fpo1AAA,2019-03-31
46,a0o6g000005fpo2AAA,2019-08-20
47,a0o6g000005fq19AAA,2019-09-26
48,a0o6g000005fq1NAAQ,2020-10-21
49,a0o6g000005fq1OAAQ,2020-05-22
50,a0o6g000005fq1QAAQ,2019-03-28
51,a0o6g000005fq1RAAQ,2019-07-19
52,a0o6g000005fq1cAAA,2020-04-22
53,a0o6g000005fq23AAA,2019-05-10
54,a0o6g000005qZiOAAU,2019-11-25
55,a0o6g000005qZiQAAU,2019-10-18
56,a0o6g000005qZicAAE,2020-10-10
57,a0o6g000005qZj8AAE,2018-12-16
58,a0o6g000005qZj9AAE,2021-01-30
59,a0o6g000005qZjbAAE,2021-11-08
60,a0o6g00000Dg6Q6AAJ,2019-03-21
61,a0o6g00000Dg6Q7AAJ,2019-03-21
62,a0o6g00000Dg6Q8AAJ,2019-10-20
63,a0o6g00000Dg6Q9AAJ,2019-03-21
64,a0o6g00000Dg6QAAAZ,2019-03-21
65,a0o6g00000Dg6QBAAZ,2019-03-21
66,a0o6g00000Dg6QCAAZ,2019-03-21
67,a0o6g00000Dg6QDAAZ,2020-11-06
68,a0o6g00000Dg6QEAAZ,2020-06-08
69,a0o6g00000Dg6QFAAZ,2020-08-08
70,a0o6g00000Dg6QGAAZ,2020-09-19
71,a0o6g00000Dg6QHAAZ,2020-12-18
72,a0o6g00000Dg6QbAAJ,2020-07-20
73,a0o6g00000Dg6QTAAZ,2020-12-18
74,a0o6g00000Dg6QUAAZ,2020-12-18
75,a0o6g00000Dg6QVAAZ,2021-02-19
76,a0o6g00000Dg6QWAAZ,2020-12-20
77,a0o6g00000Dg6QXAAZ,2020-12-19
78,a0o6g00000Dg6QYAAZ,2020-12-18
79,a0o6g00000Dg6QZAAZ,2020-12-18
80,a0o6g00000Dg6rgAAB,2019-02-06
81,a0o6g00000Dg6rhAAB,2019-02-07
82,a0o6g00000Dg6riAAB,2019-02-07
83,a0o6g00000Dg6rjAAB,2019-02-07
84,a0o6g00000Dg6rkAAB,2019-02-07
85,a0o6g00000Dg6rlAAB,2019-02-07
86,a0o6g00000Dg6rmAAB,2019-02-07
87,a0o6g00000Dg6rnAAB,2019-02-07
88,a0o6g00000Dg6roAAB,2019-02-07
89,a0o6g00000Dg6rpAAB,2019-02-07
90,a0o6g00000Dg6rqAAB,2019-02-14
91,a0o6g00000Dg6rrAAB,2019-02-14
92,a0o6g00000Dg6rsAAB,2019-02-14
93,a0o6g00000Dg6rtAAB,2019-02-14
94,a0o6g00000Dg6ruAAB,2019-02-14
95,a0o6g00000Dg6rvAAB,2019-02-14
96,a0o6g00000Dg6rwAAB,2019-02-15
97,a0o6g00000Dg6rxAAB,2019-02-14
98,a0o6g00000Dg6s0AAB,2019-02-14
99,a0o6g00000Dg6s1AAB,2019-02-14
100,a0o6g00000Dg6S2AAJ,2019-03-23
101,a0o6g00000Dg6S3AAJ,2019-03-23
102,a0o6g00000Dg6S4AAJ,2019-03-21
103,a0o6g00000Dg6S5AAJ,2019-03-21
104,a0o6g00000Dg6S6AAJ,2019-03-21
105,a0o6g00000Dg6S7AAJ,2019-03-21
106,a0o6g00000Dg6S8AAJ,2019-03-21
107,a0o6g00000Dg6S9AAJ,2019-03-21
108,a0o6g00000Dg6SAAAZ,2019-03-21
109,a0o6g00000Dg6SBAAZ,2019-03-21
110,a0o6g00000Dg6SCAAZ,2019-03-21
111,a0o6g00000Dg6SDAAZ,2019-03-21
112,a0o6g00000Dg6SaAAJ,2018-11-29
113,a0o6g00000Dg6SbAAJ,2018-11-28
114,a0o6g00000Dg6U9AAJ,2021-03-30
115,a0o6g00000Dg6UAAAZ,2019-05-29
116,a0o6g00000Dg6UBAAZ,2021-03-30
117,a0o6g00000Dg6UCAAZ,2021-03-30
118,a0o6g00000Dg6UDAAZ,2019-04-02
119,a0o6g00000Dg6UEAAZ,2019-02-07
